ite,tExecS,MediaTCumulativa,Acuracia,MediaAcCumulativa
145,8.23034381866455,8.6129559648448,0.996726666393319,0.996501531922956
146,8.97163581848145,8.61541267617108,0.996644662211106,0.996502512267395
147,8.41191458702087,8.61402833542856,0.996412317028168,0.996501898694339
148,8.41234827041626,8.61266563228659,0.996610493801851,0.996502632445066
149,8.22273087501526,8.61004862049282,0.996583159074446,0.996503172892243
150,8.78576469421387,8.61122006098429,0.996658329574808,0.996504207270126
151,8.37575697898865,8.60966070282538,0.996145803435975,0.996501833734801
152,9.05850076675415,8.61261359798281,0.99667199693851,0.996502953229562
153,8.87396883964539,8.61432180217668,0.996555824347042,0.996503298792421
154,8.32703948020935,8.61245633255352,0.996521655937786,0.996503417994664
155,8.55982708930969,8.61211678904872,0.996330312845955,0.996502301187253
156,8.18193292617798,8.60935920018416,0.996651495892957,0.996503257563572
157,8.31159806251526,8.60746263242831,0.996542156983339,0.996503505330577
158,8.35411286354065,8.60585915287839,0.996637828529255,0.996504355477404
159,8.92159700393677,8.60784492552655,0.996542156983339,0.996504593222724
160,8.39668583869934,8.60652518123388,0.996200472890784,0.996502692470649
161,8.30221199989319,8.6046350372504,0.996282477072997,0.996501324673148
162,8.40547585487366,8.60340565958141,0.996610493801851,0.996501998556659
163,8.98070335388184,8.60572036936239,0.996630994847404,0.996502789944946
164,8.65854120254517,8.60604244761351,0.996330312845955,0.996501738255318
165,8.22383499145508,8.6037260387883,0.996514822255935,0.996501817552291
166,8.41499304771423,8.60258909305894,0.996432818073722,0.996501401892782
167,8.1664776802063,8.599977647473,0.996528489619637,0.996501564094739
168,8.33773994445801,8.59841670876458,0.996569491710744,0.996501968425787
169,9.02803707122803,8.60095884108684,0.996323479164104,0.996500912276309
170,8.17740321159363,8.59846733738394,0.996398649664466,0.996500310731534
